Team,Tot,R,P,KR,PR,IR,FR,BK,BP,FGR,PAT,FG,Conv,Saf,Pts,Clasificación
New England Patriots,52,14,36,0,0,0,2,0,0,0,52/52,33/36,0,1,465,2
New York Giants,47,5,36,1,1,2,2,0,0,0,44/45,30/32,1,1,420,1
Arizona Cardinals,58,16,35,1,0,4,2,0,0,0,53/58,28/31,0,2,489,2
Carolina Panthers,59,19,35,0,0,4,1,0,0,0,56/59,30/36,0,0,500,2
Jacksonville Jaguars,44,5,35,0,1,1,2,0,0,0,32/39,26/30,1,0,376,1
Oakland Raiders,42,7,34,0,0,1,0,0,0,0,38/39,21/26,1,2,359,1
Seattle Seahawks,49,10,34,1,1,0,3,0,0,0,40/44,29/31,1,0,423,1
Detroit Lions,42,7,33,0,0,1,1,0,0,0,36/39,22/24,0,2,358,1
New York Jets,44,11,33,0,0,0,0,0,0,0,42/43,27/33,0,0,387,1
New Orleans Saints,51,16,32,0,1,0,1,0,1,0,44/46,18/26,1,0,408,2
Cincinnati Bengals,50,18,31,0,0,1,0,0,0,0,48/49,23/28,1,0,419,2
Green Bay Packers,42,8,31,0,0,2,1,0,0,0,36/36,24/28,4,0,368,1
San Diego Chargers,35,4,30,0,0,1,0,0,0,0,28/32,26/32,2,0,320,1
Washington Redskins,44,9,30,2,0,1,1,0,1,0,40/41,26/30,2,1,388,1
Houston Texans,39,7,29,0,0,2,1,0,0,0,32/36,23/27,2,0,339,1
Indianapolis Colts,37,6,26,0,0,4,1,0,0,0,32/35,25/27,1,1,333,1
Pittsburgh Steelers,45,16,26,0,1,2,0,0,0,0,32/34,35/42,8,0,423,0
Tennessee Titans,37,10,25,0,0,1,1,0,0,0,29/31,14/16,3,0,299,0
Miami Dolphins,39,11,24,0,1,3,0,0,0,0,33/36,13/16,2,0,310,0
Buffalo Bills,45,19,23,0,0,2,1,0,0,0,34/40,23/27,2,1,379,0
Philadelphia Eagles,45,15,23,0,2,3,1,0,1,0,42/44,21/26,0,1,377,0
Tampa Bay Buccaneers,37,12,22,0,0,1,2,0,0,0,31/34,29/40,1,0,342,0
Atlanta Falcons,38,13,21,0,0,1,3,0,0,0,34/34,25/31,1,0,339,0
Baltimore Ravens,33,8,21,0,1,1,1,1,0,0,29/29,33/40,1,0,328,0
Chicago Bears,34,13,21,0,0,0,0,0,0,0,28/29,33/39,2,0,335,0
Cleveland Browns,28,5,20,0,1,2,0,0,0,0,22/24,28/32,2,0,278,0
Kansas City Chiefs,45,19,20,0,0,4,2,0,0,0,39/41,30/37,2,1,405,0
Denver Broncos,38,13,19,0,1,4,1,0,0,0,35/36,30/35,0,1,355,0
Dallas Cowboys,26,8,16,0,0,1,0,0,1,0,25/25,30/32,1,1,275,0
San Francisco 49ers,24,7,16,0,0,1,0,0,0,0,20/21,24/27,1,0,238,0
Minnesota Vikings,38,18,14,2,1,2,1,0,0,0,33/37,34/39,1,0,365,0
St. Louis Rams,31,16,11,0,1,1,2,0,0,0,27/29,21/31,1,1,280,0
